num,Generalized functional category,log2FC,p-value
349,Polysaccharides,0.439983380332077,p > 0.05
350,Polysaccharides,0.004566998564983,p > 0.05
351,Polysaccharides,0.552818517078939,p < 0.05
352,Polysaccharides,-0.111747353955144,p > 0.05
353,Polysaccharides,0.499138571314236,p < 0.05
354,Other,4.45344110471499,p < 0.05
355,Other,4.77080602743328,p < 0.05
356,Other,-4.18530570432365,p < 0.05
357,Other,-3.00667629922478,p < 0.05
358,Other,-3.55561423180212,p < 0.05
359,Other,3.28656888167582,p < 0.05
360,Other,-3.52844899605467,p < 0.05
361,Other,4.79649081889188,p < 0.05
362,Other,4.24072887655214,p < 0.05
363,Other,-3.23645455885201,p < 0.05
364,Other,-2.7724200483398,p < 0.05
365,Other,2.0139356960826,p < 0.05
366,Other,-3.21210568722874,p < 0.05
367,Other,-1.67675691064601,p < 0.05
368,Other,-3.07956861171478,p < 0.05
369,Other,4.52216588404053,p < 0.05
370,Other,2.04579722843147,p < 0.05
371,Other,-1.21102619147797,p < 0.05
372,Other,1.46328178780991,p < 0.05
373,Other,-2.88754379746217,p < 0.05
374,Other,1.3875369770886,p < 0.05
375,Other,-1.53713654079585,p < 0.05
376,Other,1.07046278756136,p < 0.05
377,Other,1.51235644675287,p < 0.05
378,Other,1.19012081144423,p < 0.05
379,Other,1.045475711692,p < 0.05
380,Other,1.25707161319039,p < 0.05
381,Other,-3.15064966575791,p < 0.05
382,Other,-3.40301129782185,p < 0.05
383,Other,1.25778203793346,p < 0.05
384,Other,-1.64575496713662,p < 0.05
385,Other,-2.09060532354898,p < 0.05
386,Other,-1.6959547769001,p < 0.05
387,Other,-1.83320517713344,p < 0.05
388,Other,-3.00834107402685,p < 0.05
389,Other,1.21431525741215,p < 0.05
390,Other,0.960947444237696,p < 0.05
391,Other,-2.47952213926465,p < 0.05
392,Other,1.54793383053518,p < 0.05
393,Other,-1.96795189561318,p < 0.05
394,Other,1.10569392236593,p < 0.05
395,Other,-1.0486777732327,p < 0.05
396,Other,1.95030545575468,p < 0.05
397,Other,-1.50283372413474,p < 0.05
398,Other,-1.25417410487628,p < 0.05
399,Other,-1.65450539415813,p < 0.05
400,Other,-1.2261717098841,p < 0.05
401,Other,0.99713465815886,p < 0.05
402,Other,-1.44937915836916,p < 0.05
403,Other,-1.78501302579469,p < 0.05
404,Other,-0.878003959799328,p < 0.05
405,Other,-2.77099056909451,p < 0.05
406,Other,1.21051969735753,p < 0.05
407,Other,-1.50510868353022,p < 0.05
408,Other,1.18874350303394,p < 0.05
409,Other,-1.06411114930419,p < 0.05
410,Other,-1.43916059997408,p < 0.05
411,Other,-1.13050421288724,p < 0.05
412,Other,-1.54035144405494,p < 0.05
413,Other,-1.12444462437245,p < 0.05
414,Other,2.64916097025333,p < 0.05
415,Other,0.949716408528935,p < 0.05
416,Other,-0.858084677663356,p < 0.05
417,Other,0.963859667579185,p < 0.05
418,Other,1.40034983128861,p < 0.05
419,Other,-1.30354482894836,p < 0.05
420,Other,-1.81691689231472,p < 0.05
421,Other,0.935715031714492,p < 0.05
422,Other,-1.55274852984501,p < 0.05
423,Other,0.926886891498757,p < 0.05
424,Other,-1.29948079961786,p < 0.05
425,Other,0.923599291087102,p < 0.05
426,Other,0.943964122250626,p < 0.05
427,Other,-1.38026024136522,p < 0.05
428,Other,-1.29638579192317,p < 0.05
429,Other,-1.2233581197288,p < 0.05
430,Other,1.61062110214152,p < 0.05
431,Other,0.776275750373721,p < 0.05
432,Other,1.09469208225721,p < 0.05
433,Other,-3.11733961866665,p < 0.05
434,Other,-1.71390242436091,p < 0.05
435,Other,0.906747577408891,p < 0.05
436,Other,1.29636060130288,p < 0.05
437,Other,-1.33016405491757,p < 0.05
438,Other,-1.18948528141431,p < 0.05
439,Other,0.818147360568673,p < 0.05
440,Other,0.827573504375731,p < 0.05
441,Other,-0.967883725424135,p < 0.05
442,Other,-0.793203625097682,p < 0.05
443,Other,-0.852814330202827,p < 0.05
444,Other,0.703706307670413,p < 0.05
445,Other,0.770015895739391,p < 0.05
446,Other,-1.45191794618376,p < 0.05
447,Other,-1.06457334277257,p < 0.05
448,Other,0.826977453001864,p < 0.05
449,Other,1.3575759505637,p < 0.05
450,Other,-0.901013972819529,p < 0.05
451,Other,0.784898759162744,p < 0.05
452,Other,-0.961197529787066,p < 0.05
453,Other,-0.957666722975896,p < 0.05
454,Other,-1.04257238992184,p < 0.05
455,Other,-1.23373746266054,p < 0.05
456,Other,-1.30239777338737,p < 0.05
457,Other,-0.901052266417009,p < 0.05
458,Other,-0.847687049550826,p < 0.05
459,Other,-1.11599416271023,p < 0.05
460,Other,0.997121356131893,p < 0.05
461,Other,0.959254531111604,p < 0.05
462,Other,-0.904243851380229,p < 0.05
463,Other,-1.06894911483488,p < 0.05
464,Other,-0.990369542818135,p < 0.05
465,Other,-2.17628056579476,p < 0.05
466,Other,0.933165914126592,p < 0.05
467,Other,0.772368697750149,p < 0.05
468,Other,-0.835901035888441,p < 0.05
469,Other,-1.97408774301642,p < 0.05
470,Other,-0.984248729588492,p < 0.05
471,Other,0.991782432856754,p < 0.05
472,Other,1.06715490443253,p < 0.05
473,Other,0.635935387824337,p < 0.05
474,Other,0.788520246968633,p < 0.05
475,Other,-0.715217357649513,p < 0.05
476,Other,-0.756902172602519,p < 0.05
477,Other,0.890899085367161,p < 0.05
478,Other,1.87292589033217,p < 0.05
479,Other,1.43507172133684,p < 0.05
480,Other,-5.40194064474086,p < 0.05
481,Other,0.716545762573703,p < 0.05
482,Other,-0.830110721228223,p < 0.05
483,Other,-0.780393248862654,p < 0.05
484,Other,0.864979949016861,p < 0.05
485,Other,0.579180090871073,p < 0.05
486,Other,0.610685315013316,p < 0.05
487,Other,0.691235640941194,p < 0.05
488,Other,-1.07048004336129,p < 0.05
489,Other,-1.57930751120362,p < 0.05
490,Other,0.938677103562024,p < 0.05
491,Other,0.693478427424868,p < 0.05
492,Other,-1.44445634870837,p < 0.05
493,Other,-0.794629771373718,p < 0.05
494,Other,0.761862392431362,p < 0.05
495,Other,-1.2176123560823,p < 0.05
496,Other,0.826449174650968,p < 0.05
497,Other,0.853141317293207,p < 0.05
498,Other,-0.68574414889696,p < 0.05
499,Other,-1.44268031991347,p < 0.05
500,Other,0.902977579709739,p < 0.05
501,Other,0.906116188515555,p < 0.05
502,Other,0.700904874079935,p < 0.05
503,Other,0.843304388778921,p < 0.05
504,Other,0.800566146817426,p < 0.05
505,Other,0.563716592668874,p < 0.05
506,Other,-1.96256955665844,p < 0.05
507,Other,-0.967130060342007,p < 0.05
508,Other,-2.85438183259775,p < 0.05
509,Other,-0.665913089281635,p < 0.05
510,Other,-1.5954933945533,p < 0.05
511,Other,-0.714946906831284,p < 0.05
512,Other,-0.880500379263375,p < 0.05
513,Other,0.792608158423399,p < 0.05
514,Other,0.79067814182175,p < 0.05
515,Other,-0.808203909422438,p < 0.05
516,Other,1.32290091634944,p < 0.05
517,Other,-0.788889349165623,p < 0.05
518,Other,1.98286389465031,p < 0.05
519,Other,0.624351020621091,p < 0.05
520,Other,0.643058593233297,p < 0.05
521,Other,0.638970795234376,p < 0.05
522,Other,0.837677219760627,p < 0.05
523,Other,0.809536968082974,p < 0.05
524,Other,0.780228328114985,p < 0.05
525,Other,0.592613807344037,p < 0.05
526,Other,-0.625359607402742,p < 0.05
527,Other,-0.65921982105002,p < 0.05
528,Other,-0.779510279673762,p < 0.05
529,Other,0.858475818512825,p < 0.05
530,Other,0.676393920387579,p < 0.05
531,Other,-0.986900705904028,p < 0.05
532,Other,0.691873658554062,p < 0.05
533,Other,1.02408455357523,p < 0.05
534,Other,-0.831058193498397,p < 0.05
535,Other,-2.35187963013576,p < 0.05
536,Other,-0.815949116772116,p < 0.05
537,Other,-0.628422495109065,p < 0.05
538,Other,0.968504001692128,p < 0.05
539,Other,-0.896179710044828,p < 0.05
540,Other,0.742787259003184,p < 0.05
541,Other,0.531891393018874,p < 0.05
542,Other,-1.228680863955,p < 0.05
543,Other,-1.07729265578864,p < 0.05
544,Other,0.696508582022915,p < 0.05
545,Other,-0.732037752370533,p < 0.05
546,Other,0.762571118768455,p < 0.05
547,Other,0.958423020638047,p < 0.05
548,Other,0.799842447797228,p < 0.05
549,Other,-0.935400107970887,p < 0.05
550,Other,1.19991013430759,p < 0.05
551,Other,0.844966164832388,p < 0.05
552,Other,0.881019597416122,p < 0.05
553,Other,-0.574687110501774,p < 0.05
554,Other,0.80807947789278,p < 0.05
555,Other,0.913414905870076,p < 0.05
556,Other,0.684670967953864,p < 0.05
557,Other,-1.08483528480868,p < 0.05
558,Other,0.505038829233059,p < 0.05
559,Other,0.87259037335294,p < 0.05
560,Other,-1.16557545420062,p < 0.05
561,Other,0.832775608810407,p < 0.05
562,Other,-0.854572743841296,p < 0.05
563,Other,0.72663985146783,p < 0.05
564,Other,-0.740773089353085,p < 0.05
565,Other,-0.721244108516717,p < 0.05
566,Other,-0.763305076398723,p < 0.05
567,Other,0.555701359407439,p < 0.05
568,Other,0.567937489180779,p < 0.05
569,Other,0.942636628180329,p < 0.05
570,Other,0.645568133076569,p < 0.05
571,Other,-1.5878402460148,p < 0.05
572,Other,0.678421770827155,p < 0.05
573,Other,-0.561157011202216,p < 0.05
574,Other,-2.33067100078166,p < 0.05
575,Other,-1.38474532876696,p < 0.05
576,Other,-1.06998946402095,p < 0.05
577,Other,-0.794067472788741,p < 0.05
578,Other,-0.736107943024496,p < 0.05
579,Other,0.580819065230752,p < 0.05
580,Other,-1.06317679196545,p < 0.05
581,Other,0.767365360502954,p < 0.05
582,Other,0.948434152558885,p < 0.05
583,Other,0.735216816669498,p < 0.05
584,Other,0.710380824879238,p < 0.05
585,Other,-1.44350615390323,p < 0.05
586,Other,-0.81014502666073,p < 0.05
587,Other,-0.644334574347747,p < 0.05
588,Other,1.15592645193899,p < 0.05
589,Other,0.823757212745482,p < 0.05
590,Other,-0.82123015179338,p < 0.05
591,Other,0.561565678851627,p < 0.05
592,Other,0.485801914086079,p < 0.05
593,Other,0.626342824289771,p < 0.05
